,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
3373,Paris Madeira,"28 Rue de Caumartin, 75009 Paris, France",48.8721628,2.3282761,16,23,9,Cheapest beer,7.5,5.5,50,super bock,,5.5,50.0,slavia,,5.5,50.0,,,,,,,,,,,,,,,,,,,,
3374,Paris Orléans,"129 Avenue du Général Leclerc, 75014 Paris, France",48.8234505,2.3258011,16,19,1,Cheapest beer,9.6,5.5,50,Leffe Blonde,,10.2,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3375,Paris Texas,"74 Rue du Faubourg Saint-Denis, 75010 Paris, France",48.8730674,2.3547156,16,19,0,Cheapest beer,6.9,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,Parlament,"Carrer del Parlament, 26, 08015 Barcelona, Espagne",41.3758931,2.161805,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,París Beaubourg,"23 Rue Saint-Merri, 75004 Paris-4E-Arrondissement, France",48.8596283,2.3521198,17,22,1,Cheapest beer,7.5,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,Pastelaria Morabeza,"Mindelo, Cap-Vert",16.8874145,-24.9863842,0,0,1,Estrela Kriola,1.0,,25,Super Bock,1.2,,25.0,Sagres,1.2,,25.0,,,,,,,,,,,,,,,,,,,,
3379,Pata Negra,"Plaza Rosa Chacel, Valladolid, España",41.6418305,-4.718819979443804,0,0,0,Cheapest beer,1.6,,50,Leffe Blonde,1.6,,33.0,,,,,,,,,,,,,,,,,,,,,,,,
3380,Pause Café,"39 Boulevard Henri IV, 75004 Paris, France",48.8513094,2.3630939,0,0,0,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,Peace & Love,"245 Rue la Fayette, 75010 Paris, France",48.8825776,2.3690866,16,20,0,Cheapest beer,4.8,4.2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,Pelatti's Vermuteria,"Carrer de Floridablanca, 24, 08015 Barcelona, Espagne",41.3784313,2.1584357,0,0,0,Cheapest beer,3.75,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,Pena Osmosa,"Rue des Ursulines, 40500 Saint-Sever, France",43.7597644,-0.5727291,0,0,0,Kronenbourg,4.0,,50,ipa micromegas,6.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3385,Penny Lane Pub,"1 Rue de Coetquen, 35000 Rennes, France",48.1110364,-1.6785337,0,0,0,Cheapest beer,5.2,,50,Guinness,7.0,,50.0,Newcastle Brown Ale,6.5,,50.0,Affligem,6.4 ,,50,Skummen pale ale,7 ,,50,Tennents,6.5 ,,50,Mort subite kriek,6.9 ,,50,TBD,TBD,TBD,TBD
3386,Pepa Tomate,"Carrer del Parlament, 35, 08015 Barcelona, Espagne",41.3758931,2.161805,0,0,0,Cheapest beer,3.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,Peps,"1 Quai Claude Bernard, 69007 Lyon, France",45.7544501,4.839613,16,20,1,Cheapest beer,5.0,5.0,50,Cuvée des Trolls,6.0,5.0,50.0,Maredsous Blonde,6.0,5.0,50.0,Guinness,6 ,5 ,50,Orange Mécanique,6.5 ,5 ,50,Bellerose,6 ,5 ,50,Liefmann Fruitesse on the Rocks,6 ,5 ,50,TBD,TBD,TBD,TBD
3388,Pergo Café,69 Rue Pergolese,46.0264541,10.9592319,0,0,2,Cheapest beer,10.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,Peter Mc Cool,"22 Rue Scribe, 44000 Nantes, France",47.2140213,-1.5624251,0,0,5,Kronenbourg,3.6,,50,Vedett Extra IPA,7.0,,50.0,Guinness,,,50.0,Orval,5.9 ,,33,,,,,,,,,,,,,,,,
3390,Petit Bain,"7 Port de la Gare, 75013 Paris, France",48.835425900000004,2.376718609336363,17,19,0,Cheapest beer,8.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,Petit À Petit,"61 Rue Louis Rouquier, 92300 Levallois-Perret, France",48.8911947,2.2877029,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,Philae,"26 Rue Saint-Jean, 62520 Le Touquet-Paris-Plage, France",50.5237453,1.5852605,0,0,0,Heineken,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,Phénix,"19 Rue Stanislas, 54000 Nancy, France",48.6929374,6.1815644,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,Pickwick'S,"3 Rue Rameau, 44000 Nantes, France",47.2131682,-1.5607253,16,19,2,Pelforth,5.5,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,Pigalle,"22 Boulevard de Clichy, 75018 Paris, France",48.8826028,2.3374516,16,19,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,Pijalnia Wódki I Piwa,"Piotrkowska 92, 90-103 Łódź, Polska",51.7663653,19.4572956,0,0,0,Cheapest beer,1.0,,50,Warka,1.0,,40.0,Brackie niepasteryzowane,1.0,,40.0,,,,,,,,,,,,,,,,,,,,
3397,Pikole Beach Bar,"2890 Alcochete, Portugal",38.7560499,-8.9608437,0,0,0,Cheapest beer,2.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,Pili Pili,"70 Rue Jean-Pierre Timbaud, 75011 Paris, France",48.866983,2.3750256,17,19,0,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,Piment Café,15 Rue de Sévigné,48.8564018,2.3624948,17,20,32,Amstel,3.8,3.8,50,Guinness,7.5,7.5,50.0,Blanche Des Neiges,4.3,4.3,50.0,Bar & Beer IPA,7 ,7 ,50,,,,,,,,,,,,,,,,
3401,Pinocchio,"19 Boulevard Edgar Quinet, 75014 Paris, France",48.8411793,2.3238948,17,23,2,Blonde basique ,8.0,5.5,50,Affligem,9.5,7.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3402,Pirada,"7 Rue de Lappe, 75011 Paris, France",48.8540694,2.3720521,16,20,0,Cheapest beer,5.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,Piston Pélican,"15 Rue de Bagnolet, 75020 Paris, France",48.8568076,2.3957212,0,0,2,Pills,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,Piwoteka Narodowa,"6 Sierpnia 1/3, 90-606 Łódź, Polska",51.7687181,19.4554044,0,0,0,Cheapest beer,2.5,,50,Conrelius Grejphrut,3.0,,50.0,Jabłko w piwie,3.0,,50.0,Ciechan miodowe,3 ,,50,Javer ,2.5 ,,33,,,,,,,,,,,,
3405,Pizza Lauretta,"46 Boulevard de la Villette, 75019 Paris, France",48.8741444,2.3751312,16,19,0,Cheapest beer,6.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,Pizzeria Mafiosi,"Reindorfgasse 15, 1150 Wien, Autriche",48.1900679,16.3302823,0,0,0,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,Pizzeria Popolare,"111 Rue Réaumur, 75002 Paris-2E-Arrondissement, France",48.8681361,2.3433222,0,0,2,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,Plan B,"23 Rue du Bastion, 76600 Le Havre, France",49.4938887,0.1151477,0,0,1,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,Planétalis,"4 Place Robert Schuman, 38000 Grenoble, France",45.1915495,5.713068,0,0,1,Cheapest beer,3.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,Platypus Brewpub,32 Cours Charlemagne,45.7462897,4.8236024,16,20,1,Platy-blonde (brassée sur place),5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,Players,"97 Lockhart Rd, Wan Chai, Hong Kong",22.2781584,114.1732079,15,21,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,Playoff Wagram,"58 Avenue de Wagram, 75017 Paris, France",48.8792458,2.2992666,17,19,3,Cheapest beer,6.5,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,Playwright,"202 W 49th St, New York, NY 10019, USA",40.7604723,-73.9840506,15,18,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,Plazza Chicken Cafe,"Eonju-ro, Gangnam-gu, Seoul, South Korea",37.4741307,127.0604531,0,0,0,Cheapest beer,2.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,Plug In Café,60 Rue Gérard,48.8288958,2.3514028,16,19,7,Cheapest beer,8.0,5.0,50,La Chouffe,9.0,5.0,50.0,Murphy's Stout,9.0,5.0,50.0,Edelweiss Blanche,9 ,5 ,50,Affligem,9 ,,50,,,,,,,,,,,,
3416,Plume,"32 Rue Cheverus, 33000 Bordeaux, France",44.8378059,-0.5755956,16,19,2,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,Plus Que Parfait,"Rue de la Brasserie, 24100 Bergerac, France",44.8508906,0.4835358,0,0,0,Cheapest beer,5.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,Poechellekelder,"Rue du Chêne 5, 1000 Bruxelles, Belgique",50.8447613,4.349912869266651,0,0,2,Cheapest beer,5.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,Point Ephémère,200 Quai de Valmy,48.8815009,2.3685984,14,18,2,Cheapest beer,6.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,Point Zéro,"9 Rue Paul Lelong, 75002 Paris, France",48.8676662,2.342712,17,19,1,Cheapest beer,7.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,Pointe Isabelle,"165 Avenue Michel Croz, 74400 Chamonix-Mont-Blanc, France",45.9230003,6.8728551,0,0,0,Heineken,7.0,,50,Affligem,7.5,,50.0,Edelweiss Blanche,7.5,,50.0,Lagunitas IPA,7.8 ,,50,Newcastle Brown Ale,7.8 ,,50,,,,,,,,,,,,
3422,Pointers,"Resselgasse 5, 1040 Wien, Austria",48.1989061,16.3684863,17,18,1,Cheapest beer,3.8,2.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,Polette,"115 Boulevard Victor Hugo, 92110 Clichy, France",48.9022331,2.318172,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,Polikarpov,"24 Cours Honoré d'Estienne d'Orves, 13001 Marseille, France",43.2930308,5.374033,18,20,0,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,Polkadot,"Albertgasse 5, 1080 Wien, Autriche",48.208492,16.3435901,0,0,0,Cheapest beer,3.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,Ponta Beach Club,"Nika Anđusa, Petrovac, Montenegro",42.2070359,18.939875,0,0,0,Cheapest beer,2.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,Pontgarten,"Pontstraße 154, 52062 Aachen, Deutschland",50.7806745,6.0797447,0,0,0,Cheapest beer,3.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,Pony Polo,"24 Rue Saint-Lazare, 75009 Paris, France",48.8767825,2.3369509,0,0,2,Cheapest beer,6.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,Pop In,105 Rue Amelot,48.8614116,2.3675537,1730,20,4,Cheapest beer,6.0,3.0,50,Hoegaarden Wit-Blanche,,4.0,50.0,Guinness,,4.0,50.0,,,,,,,,,,,,,,,,,,,,
3431,PopCafé,"Piazza Santo Spirito, 18/R, 50125 Firenze FI, Italie",43.7666668,11.2470023,0,0,0,Cheapest beer,6.0,,50,Moretti,6.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
3432,Populaire,"20 Rue Torricelli, 75017 Paris, France",48.8810108,2.2924706,16,18,2,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,Port Saïd,"Tel-Aviv, Israël",32.0804808,34.7805274,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,Porter'S Bar And Grill,"173 Porter St, Boston, MA 02128, USA",42.37140088888889,-71.03294497222223,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,Pousse Café,"61 Rue du Dôme, 92100 Boulogne-Billancourt, France",48.8320674,2.2485953,16,20,3,Cheapest beer,7.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,Prime Cut,"Nairobi, Kenya",-1.2832533,36.8172449,0,0,0,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,Privileg,"Graseweg 1, 06108 Halle (Saale), Allemagne",51.4832399,11.9678506,0,0,0,Cheapest beer,3.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,Proibido,"34 Rue Durantin, 75018 Paris, France",48.8860329,2.3367672,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,Pub 78,"20 Place Charles de Gaulle, 78100 Saint-Germain-en-Laye, France",48.8971974,2.0950629,16,19,1,Cheapest beer,7.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,Pub Colonial,"Carrer del Dr. Vicent Zaragoza, 3, 46020 València, Valencia, España",39.4856337,-0.3646876,0,0,0,Cheapest beer,2.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,Pub Ikkuna,"Salomonkatu 4, 00100 Helsinki, Finland",60.1678988,24.9278124,10,14,0,Cheapest beer,5.2,3.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,Pub Mac Ewan's,"8 Place Sébastopol, 59000 Lille, France",50.6284797,3.0585755378623465,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,Pub Moret,"19 Rue Moret, 75011 Paris, France",48.8673618,2.3791022,17,20,0,Cheapest beer,5.0,2.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,Pub Mulligan,"4 Allée du Cadran, 64600 Anglet, France",43.4819779,-1.5040906,1730,19,0,Cheapest beer,6.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,Pub Nelson,"20 Rue des Couples, 67000 Strasbourg, France",48.578844,7.753638,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,Pub O'Prince,52 Rue Monsieur le Prince,48.8484223,2.3405586,16,20,3,Cheapest beer,5.0,4.5,50,Prince Blonde,6.0,6.0,50.0,Triple Karmeliet,6.0,6.0,50.0,Belzebuth 13°,6.5 ,,50,,,,,,,,,,,,,,,,
3448,Pub P.O,"2 Grand'place, 92350 Le Plessis-Robinson, France",48.7814151,2.2633627,0,0,1,Cheapest beer,6.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,Pub Road 88,"14 Rue d'Orgemont, 60500 Chantilly, France",49.1873442,2.460202,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,Pub Saint Pierre,"11 Place Saint-Pierre, 31000 Toulouse, France",43.6039482,1.4356073,18,20,0,Cheapest beer,5.7,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,Pub Sportowy U Bocka,"Dąbrowskiego 33, 60-101 Poznań, Pologne",52.4119562,16.9077096,0,0,0,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,Pub St Michel,"19 Quai Saint-Michel, 75005 Paris, France",48.8533542,2.3454662,15,21,6,Cheapest beer,7.5,4.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,Pub Stallhagen,"22410, Åland",60.2166218,19.9438638,0,0,0,Cheapest beer,7.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,Pub le Dubliner’s,"46 Avenue Marcel Langer, 31400 Toulouse, France",43.583547249999995,1.4506129062759343,18,19,1,Cheapest beer,4.5,4.5,50,Triple Karmeliet,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3456,Public House,"14 Rue Paul Janet, 67000 Strasbourg, France",48.5795137,7.7606206,1430,19,3,Cheapest beer,6.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,Publican,"44 Rue Maufoux, 21200 Beaune, France",47.0220911,4.8335333,1630,18,0,Cheapest beer,6.6,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,Pudding,"Carrer de Pau Claris, 90, 08010 Barcelona, Espagne",41.3895206,2.1713777,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459,Pudel Baar,"Telliskivi 60a, 10412 Tallinn, Estonie",59.4396348,24.7292186,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,Puerto De Chus,"Av. de Villamayor, Salamanca, España",40.9925576,-5.7173179,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,Puzzle Pub,"20 Rue de Châteauneuf, 37000 Tours, France",47.39329095,0.6817361325471509,0,0,0,Cheapest beer,4.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,Père Et Fils,"86 Rue Montmartre, 75002 Paris, France",48.8701527,2.3427229,0,0,1,Cheapest beer,,5.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,Pères Populaires,"46 Rue de Buzenval, 75020 Paris, France",48.8513186,2.4016999,0,0,9,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3465,Péniche Antipode,"55 Quai de la Seine, 75019 Paris, France",48.8870505,2.3751638,0,0,5,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,Pépère Bar,"26 Rue Nicolas Leblanc, 59000 Lille, France",50.6294798,3.0612217,0,0,0,Triple Karmeliet,5.0,,50,Kasteel Rouge,5.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3467,Le Pêché Mignon,"50 Avenue de Clichy, 75018 Paris, France",48.8839357,2.3272378,11,23,9,Cheapest beer,3.0,3.0,50,La Chouffe,5.9,,50.0,Grimbergen Blonde,5.5,,50.0,Stella Artois,3 ,,50,La Bête,4.5 ,,33,Triple Karmeliet,4.5 ,,33,Kwak,4.5 ,,33,TBD,TBD,TBD,TBD
3468,pupukea,"83 Rue Cardinet, 75017 Paris, France",48.8845007,2.3095619,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,Le QG Brasserie,"26 Place de la Gare, 59800 Lille, France",50.6360788,3.0694346,17,19,0,Cheapest beer,5.2,3.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,Le Quartz,"15 Place Guignault, 71600 Paray-le-Monial, France",46.4521429,4.1200044,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,Le Quid,"12 Rue de la Grande Truanderie, 75001 Paris, France",48.8628225,2.3491101,16,22,15,Cheapest beer,5.0,4.5,50,Grimbergen Rouge,,4.5,50.0,Kronenbourg,,4.5,50.0,,,,,,,,,,,,,,,,,,,,
3474,QG Bar,"31 Avenue de la Liberté, 1931 Luxembourg",49.6016485,6.1326396,0,0,0,Cheapest beer,4.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475,Qg,"47 Rue de la Paix, 50120 Équeurdreville-Hainneville, France",49.649097999999995,-1.6500297772727293,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,Quai 22,"22 Quai Duperré, 17000 La Rochelle, France",46.1581407,-1.1518918,0,0,4,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,Quai 23,"Chemin des Rives, 2520 La Neuveville, Suisse",47.063896,7.0991094,0,0,1,Calanda,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,Quartier Général,"101 Rue Oberkampf, 75011 Paris, France",48.8655866,2.3767246,16,20,1,Cheapest beer,7.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,Quartier Libre,"16 Rue de la Mairie, 11210 Port-la-Nouvelle, France",43.0214879,3.0428397,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,Queen Victoria,"1 Place aux Huiles, 13001 Marseille, France",43.2933519,5.3717776,16,19,1,Cheapest beer,5.0,5.0,50,Stella Artois,7.15,5.0,50.0,Goose Island Chicago IPA,7.95,5.0,50.0,Delirium Red,7.95 ,5 ,50,Delirium Tremens,7.95 ,5 ,50,Cuvée des Trolls,7.95 ,5 ,50,Barbar Miel,7.95 ,5 ,50,TBD,TBD,TBD,TBD
3481,Quetzal,"10 Rue de la Verrerie, 75004 Paris, France",48.8572153,2.3552063,0,0,1,Cheapest beer,,4.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,Quetzal,"Carrer de Viladomat, 56, 08015 Barcelona, Espagne",41.3774885,2.1605503979739207,0,0,0,Cheapest beer,3.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,Quim'Café,"569 Avenue de la Plage, 44420 Mesquer, France",47.4064843,-2.4823631,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,le quay,"Passage Henri IV, 81100 Castres, France",43.6059507,2.2406989,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,Bar Restaurant Carré Jazz,"Place de la Maison Carrée, Nîmes, France",43.838247550000006,4.3556581481601935,16,18,1,Cheapest beer,6.0,3.0,50,Leffe Blonde,7.4,,50.0,Jupiler,3.0,,25.0,Liefmans Fruitesse,7.4 ,,50,TBD,TBD,TBD,TBD,,,,,,,,,,,,
3486,Bar Rock Café,"Národní 116/20, 110 00 Praha-Nové Město, Tchéquie",50.0820103,14.4184962,0,0,1,Cheapest beer,1.44,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3487,Bar Royal,"51 Rue Royale, 78000 Versailles, France",48.797101,2.126535,0,0,0,Stella Artois,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,Café Reuilly,"43 Boulevard de Reuilly, 75012 Paris, France",48.8395666,2.3937487,0,0,3,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,Café Rosa,"46 Rue Césaria Évora, 75019 Paris, France",48.8978669,2.3783916,15,20,1,Cheapest beer,6.0,5.0,50,1664,6.8,,50.0,Kronenbourg,6.0,,50.0,Grimbergen Blonde,7 ,,50,Grimbergen Blanche,7.2 ,,50,,,,,,,,,,,,
3490,Café Rubis,"25 Place Saint-Louis, 57000 Metz, France",49.11662915,6.17869451983651,0,0,0,Cheapest beer,,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,Café Rubis,"165 Avenue du Maine, 75014 Paris, France",48.8328552,2.3251354,16,20,0,Cheapest beer,6.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3492,L'R De Rien,"17 Rue Kervégan, 44000 Nantes, France",47.2125192,-1.5562597,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,L'R De Rien,"81 Rue Léon Frot, 75011 Paris, France",48.8576882,2.3844275,18,23,3,Cheapest beer,4.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,La Rafale,"6 Place Cambernon, 50400 Granville, France",48.837435,-1.6034817,0,0,0,Cheapest beer,5.0,,50,Paix-Dieu ,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
3495,La Raffinerie,"Rue de Lyon, 29200 Brest, France",48.3885627,-4.4884541,0,0,0,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,La Recyclerie,"83 Boulevard Ornano, 75018 Paris, France",48.89762175,2.3440597762162603,0,0,4,Licorne,6.5,,50,Blanche de Bruxelles,7.5,,50.0,Oeil de biche,7.5,,50.0,Super 8,8 ,,50,,,,,,,,,,,,,,,,
3498,La Rhumba,"36 Rue Ecuyere, 14000 Caen, France",49.182022,-0.3684514,0,0,1,Jupiler,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,La Ribouldingue,"33 Rue de Verdun, 44000 Nantes, France",47.2166396,-1.5525813,17,19,2,Cheapest beer,4.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,La Rochebrune,"17 Avenue Parmentier, 75011 Paris, France",48.8603549,2.3783594,0,0,0,Stella Artois,5.0,,50,Leffe Blonde,7.0,,50.0,Leffe Ruby,7.0,,50.0,Hoegaarden Wit-Blanche,7 ,,50,,,,,,,,,,,,,,,,
3501,La Rotonde,"2 Place de la République, 93400 Saint-Ouen, France",48.912411,2.333964,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,La Rotonde,"1 Rue René, 78220 Viroflay, France",48.8001316,2.183694,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,La Rotonde Bastille,"Rue Daval, 75011 Paris, France",48.8548364,2.370762,0,0,0,Cheapest beer,9.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,La Route Des Bières,"1340 Avenue des Chabauds, 13320 Bouc-Bel-Air, France",43.432861,5.3963126,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505,La Ruche Des Entrepreneurs,"Chaussée de Lille 204, 7500 Tournai, Belgium",50.6052991,3.3758931,0,0,0,Cheapest beer,1.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506,La Rustica,"Julius-Leber-Straße 37, 73430 Aalen, Deutschland",48.8345743,10.090628112005437,0,0,0,Cheapest beer,3.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,La Ruée vers L'orge,6 Rue des Fontaines du Temple,48.865616,2.359547,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508,La Régence,"83400 Hyères, France",43.1202573,6.1301614,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,La Réserve de Fred,"24 Place Jacques Carat, 94230 Cachan, France",48.7934732,2.3363889,0,0,2,Licorne blonde,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,La renaissance 75019,"10 Rue Euryale Dehaynin, 75019 Paris, France",48.8856584,2.3785051,15,19,7,Cheapest beer,5.0,4.0,50,Maredsous Blonde,6.5,6.0,50.0,La Chouffe,7.5,7.0,50.0,Vedett Extra IPA,7.5 ,7 ,50,1664 Blanche,5.5 ,5 ,50,,,,,,,,,,,,
